Nser,Npar,Irradiance,Temperature,Vmpp,Impp,Label
4,3,710,55,147.705,8.374309715,2
4,3,710,65,140.25,8.391015242,2
4,3,710,75,132.825,8.403023144,2
4,3,710,85,125.43,8.409954418,2
4,3,810,5,185.835,9.387038929,2
4,3,810,15,178.268745,9.427013193,2
4,3,810,25,170.715,9.46429655,2
4,3,810,35,163.2,9.497219447,2
4,3,810,45,155.6970067,9.527036535,2
4,3,810,55,148.2268636,9.552244157,2
4,3,810,65,140.805,9.571414909,2
4,3,810,75,133.41,9.58549758,2
4,3,810,85,126.06,9.592729345,2
4,3,910,5,186.075,10.54391492,2
4,3,910,15,178.5363572,10.58887096,2
4,3,910,25,171.022949,10.63003469,2
4,3,910,35,163.53,10.66744349,2
4,3,910,45,156.06,10.70067851,2
4,3,910,55,148.62,10.7289415,2
4,3,910,65,141.225,10.75070215,2
4,3,910,75,133.856884,10.76680734,2
4,3,910,85,126.5468181,10.77418559,2
4,3,1010,5,186.225,11.70009932,2
4,3,1010,15,178.7039758,11.75046721,2
4,3,1010,25,171.21,11.79656675,2
4,3,1010,35,163.755,11.83722323,2
4,3,1010,45,156.315,11.87378838,2
4,3,1010,55,148.905,11.90483225,2
4,3,1010,65,141.525,11.92992691,2
4,3,1010,75,134.1944954,11.94687924,2
4,3,1010,85,126.915,11.95475691,2
4,3,1110,5,186.3,12.85571197,2
4,3,1110,15,178.8,12.91113447,2
4,3,1110,25,171.345,12.96053634,2
4,3,1110,35,163.89,13.0069519,2
4,3,1110,45,156.48,13.04657468,2
4,3,1110,55,149.1066892,13.07951706,2
4,3,1110,65,141.75,13.10707079,2
4,3,1110,75,134.445,13.12550932,2
4,3,1110,85,127.185,13.13463327,2
4,3,10,5,124.6261566,0.17376415,3
4,3,10,15,118.32,0.174343855,3
4,3,10,25,112.00558,0.174858121,3
4,3,10,35,105.72,0.175231859,3
4,3,10,45,99.42676906,0.175499615,3
4,3,10,55,93.14392099,0.175602503,3
4,3,10,65,86.85668727,0.175531442,3
4,3,10,75,80.58,0.175212065,3
4,3,10,85,74.30382564,0.17460883,3
4,3,110,5,137.7782904,1.917048178,3
4,3,110,15,131.9067218,1.92513164,3
4,3,110,25,126.0649016,1.932197044,3
4,3,110,35,120.21,1.938774551,3
4,3,110,45,114.375,1.944215859,3
4,3,110,55,108.555,1.948399967,3
4,3,110,65,102.72,1.951652266,3
4,3,110,75,96.9,1.953169927,3
4,3,110,85,91.08824397,1.952738495,3
4,3,210,5,141.03,3.660803964,3
4,3,210,15,135.2904675,3.676530158,3
4,3,210,25,129.57,3.690711716,3
4,3,210,35,123.8586637,3.703416139,3
4,3,210,45,118.155,3.714448892,3
4,3,210,55,112.455,3.72364834,3
4,3,210,65,106.7435626,3.731196885,3
4,3,210,75,101.0631285,3.735189199,3
4,3,210,85,95.36210785,3.736950127,3
4,3,310,5,142.8281697,5.403666983,3
4,3,310,15,137.175,5.426815318,3
4,3,310,25,131.535,5.447971575,3
4,3,310,35,125.9027846,5.467084492,3
4,3,310,45,120.27,5.484213037,3
4,3,310,55,114.645,5.49861117,3
4,3,310,65,109.035,5.509416243,3
4,3,310,75,103.4223078,5.516895388,3
4,3,310,85,97.80353292,5.520579277,3
4,3,410,5,144.015,7.144829205,3
4,3,410,15,138.42,7.175519572,3
4,3,410,25,132.84,7.203528781,3
4,3,410,35,127.26,7.229333957,3
4,3,410,45,121.695,7.251697704,3
4,3,410,55,116.13,7.270987285,3
4,3,410,65,110.5752854,7.285964791,3
4,3,410,75,105.03,7.295884349,3
4,3,410,85,99.465,7.301913836,3
4,3,510,5,144.84,8.885334539,3
4,3,510,15,139.305,8.922647953,3
4,3,510,25,133.77,8.957599118,3
4,3,510,35,128.235,8.989866771,3
4,3,510,45,122.715,9.017936198,3
4,3,510,55,117.21,9.041118094,3
4,3,510,65,111.705,9.059775582,3
4,3,510,75,106.2,9.073056655,3
4,3,510,85,100.6996757,9.079497539,3
4,3,610,5,145.455,10.62368893,3
4,3,610,15,139.965,10.66773842,3
4,3,610,25,134.46,10.71014798,3
4,3,610,35,128.985,10.74695275,3
4,3,610,45,123.495,10.78124796,3
4,3,610,55,118.035,10.80847029,3
4,3,610,65,112.56,10.83174888,3
4,3,610,75,107.1083233,10.84642343,3
4,3,610,85,101.64,10.85516595,3
4,3,710,5,145.92,12.3600932,3
4,3,710,15,140.46,12.41147172,3
4,3,710,25,135,12.4596059,3
4,3,710,35,129.555,12.5026148,3
4,3,710,45,124.11,12.54125229,3
4,3,710,55,118.68,12.57320146,3
4,3,710,65,113.2402759,12.60006053,3
4,3,710,75,107.8279543,12.61649923,3
4,3,710,85,102.39,12.6271446,3
4,3,810,5,146.28,14.09397784,3
4,3,810,15,140.835,14.15374448,3
4,3,810,25,135.42,14.20681299,3
4,3,810,35,130.005,14.2555691,3
4,3,810,45,124.59,14.29936537,3
4,3,810,55,119.1874587,14.3358785,3
4,3,810,65,113.7981572,14.36375023,3
4,3,810,75,108.405,14.38368554,3
4,3,810,85,103.005,14.39456412,3
4,3,910,5,146.55,15.82628329,3
4,3,910,15,141.135,15.89266584,3
4,3,910,25,135.75,15.95151553,3
4,3,910,35,130.365,16.00550612,3
4,3,910,45,124.98,16.05390876,3
4,3,910,55,119.61,16.09377487,3
4,3,910,65,114.24,16.12575554,3
4,3,910,75,108.885,16.1461494,3
4,3,910,85,103.515,16.15748534,3
4,3,1010,5,146.745,17.55749933,3
4,3,1010,15,141.36,17.6300389,3
4,3,1010,25,136.005,17.69418132,3
4,3,1010,35,130.635,17.75491982,3
4,3,1010,45,125.2909249,17.80590206,3
4,3,1010,55,119.955,17.84823165,3
4,3,1010,65,114.615,17.88231221,3
4,3,1010,75,109.275,17.90590933,3
4,3,1010,85,103.935,17.91700259,3
4,3,1110,5,146.895,19.28562108,3
4,3,1110,15,141.54,19.36375175,3
4,3,1110,25,136.2,19.43472096,3
4,3,1110,35,130.86,19.49980939,3
4,3,1110,45,125.55,19.55345482,3
4,3,1110,55,120.225,19.60119991,3
4,3,1110,65,114.915,19.63678294,3
4,3,1110,75,109.605,19.66069598,3
4,3,1110,85,104.295,19.670689,3
4,3,10,5,83.13522956,0.174071581,3
4,3,10,15,78.945,0.174654357,3
4,3,10,25,74.76,0.175174542,3
4,3,10,35,70.59700916,0.175585809,3
4,3,10,45,66.45,0.175890564,3
4,3,10,55,62.325,0.176057976,3
4,3,10,65,58.23011798,0.176041755,3
4,3,10,75,54.15593843,0.175837609,3
4,3,10,85,50.1,0.175413684,3
4,3,110,5,91.88263568,1.920999155,3
4,3,110,15,87.98079442,1.92893493,3
4,3,110,25,84.105,1.93586459,3
4,3,110,35,80.22088814,1.942515817,3
4,3,110,45,76.36062897,1.948081154,3
4,3,110,55,72.525,1.95241922,3
4,3,110,65,68.7,1.955779863,3
4,3,110,75,64.87912419,1.958248124,3
4,3,110,85,61.09532339,1.958658494,3
4,3,210,5,94.04637905,3.668600818,3
4,3,210,15,90.24,3.683690069,3
4,3,210,25,86.445,3.697515474,3
4,3,210,35,82.64499156,3.710718511,3
4,3,210,45,78.87,3.72188766,3
4,3,210,55,75.11181778,3.731214931,3
4,3,210,65,71.36478672,3.738808268,3
4,3,210,75,67.635,3.744150715,3
4,3,210,85,63.915,3.747390835,3
4,3,310,5,95.25401481,5.41476663,3
4,3,310,15,91.49177504,5.43772218,3
4,3,310,25,87.75,5.458337674,3
4,3,310,35,84.00682659,5.477830773,3
4,3,310,45,80.28,5.494962896,3
4,3,310,55,76.575,5.509129454,3
4,3,310,65,72.87830636,5.521043128,3
4,3,310,75,69.21,5.528895339,3
4,3,310,85,65.54586256,5.534197714,3
4,3,410,5,96.045,7.159625622,3
4,3,410,15,92.325,7.189770548,3
4,3,410,25,88.60992135,7.218105475,3
4,3,410,35,84.92084355,7.242745202,3
4,3,410,45,81.24,7.264922045,3
